번호,분류,개체/사건명,확인된 사실,출처(1차 확인),확인방식,재검증 필요 여부,비고
13,사건,안악사건,1910년 안명근이 서간도 무관학교 자금 모집 중 황해도 신천에서 체포된 사건.,우리역사넷,웹검색,권장,105인사건과의 인과관계 확인 필요
14,사건,105인사건,"1911년, 일제가 안악사건을 확대·조작해 신민회 인사 105인을 기소.",우리역사넷 / 한국민족문화대백과사전,웹검색 교차확인,권장,안악사건→105인사건 인과관계는 다수 출처에서 일치
15,사건,봉오동전투,1920년 홍범도의 대한독립군이 일본군을 대파.,한국민족문화대백과사전,웹검색,불필요(널리 알려진 사실),
16,사건,청산리전투,1920년 김좌진의 북로군정서와 홍범도의 대한독립군 연합 승리.,한국민족문화대백과사전,웹검색,불필요(널리 알려진 사실),
17,사건,물산장려운동,1920년 평양에서 시작된 국산품 애용 운동.,한국민족문화대백과사전,웹검색,불필요,
18,인물,이승훈,"1864~1930. 오산학교 설립자, 신민회 회원, 105인사건 연루, 3.1운동 민족대표 33인.",한국민족문화대백과사전,웹검색,권장,생몰년 재확인 권장
19,인물,안창호,"대성학교 설립자, 신민회 주도, 임시정부 국무원 임시사료편찬회 총재.",한국민족문화대백과사전,웹검색,권장,
20,인물,조만식,오산학교 교사·교장 역임. 3.1운동 가담 후 옥고. 조선물산장려회·신간회 주도.,한국민족문화대백과사전,웹검색,권장,
21,인물,유영모,오산학교 교장 역임. 함석헌을 가르침.,위키백과,웹검색,권장,"1차 확인만 진행, 추가 교차확인 권장"
22,인물,함석헌,"오산학교 졸업, 유영모에게 사사.",위키백과,웹검색,권장,
23,인물,양기탁,신민회 회원.,한국민족문화대백과사전,웹검색,불필요,
24,인물,안명근,안중근의 사촌동생. 안악사건의 주역.,우리역사넷,웹검색,권장,
25,인물,홍범도,"1868~1943. 대한독립군 창설, 봉오동·청산리전투 참전.",한국민족문화대백과사전,웹검색,불필요(널리 알려진 사실),
26,인물,배위량(W.M.Baird),미국 북장로교 선교사. 숭실학교 설립자.,위키백과,웹검색,권장,영문 표기/생몰년 재확인 권장
27,인물,최광옥,숭실학교 1회 졸업생이자 신민회 평안남도 조직 지도자.,한국민족문화대백과사전,웹검색,권장,"학교-단체 연결고리로 특히 중요, 재검증 우선순위 높음"
28,인물,차이석,숭실학교 1회 졸업생. 대한민국 임시정부 요인. 1933년 임시정부 재건 참여.,한국민족문화대백과사전,웹검색,권장,
29,인물,이용익,보성학교 설립자. 1907년 사망.,한국민족문화대백과사전,웹검색,권장,
30,인물,이종호,"이용익의 손자. 보성학교 경영, 신민회 가담, 안중근 의거 배후 인물로 지목되어 망명.",위키백과,웹검색,권장,안중근 의거 연루 부분은 특히 재검증 권장
31,인물,손병희,천도교 지도자. 민족대표 33인 핵심. 보성학교 인수 주도.,한국민족문화대백과사전,웹검색,불필요(널리 알려진 사실),
32,인물,이회영,신민회 발족·헤이그특사 파견 주도. 신흥무관학교 설립을 이끔.,위키백과 / 우리역사넷,웹검색 교차확인,권장,
33,인물,이시영,"신흥무관학교 설립 참여. 이후 임시정부 참여, 초대 대한민국 부통령.",한국민족문화대백과사전,웹검색,불필요(널리 알려진 사실),
34,인물,이동녕,신흥무관학교 설립 참여. 임시정부 국무총리·대통령직무대리 역임.,한국민족문화대백과사전,웹검색,권장,
35,인물,이상룡,안동 유림 출신. 신흥무관학교 설립 참여. 양기탁 등의 권유로 만주 이주.,한국민족문화대백과사전,웹검색,권장,
36,인물,지청천,"일본육사 출신 장교였다가 망명, 신흥무관학교 교관 합류. 이후 광복군 총사령관.",위키백과,웹검색,권장,
37,인물,이종일,보성사 사장. 독립선언서 2만1천매 인쇄.,한국민족문화대백과사전,웹검색,권장,인쇄 매수(2만1천매) 재확인 권장
38,인물,한용운,"민족대표 33인, 불교계 대표. 시인.",한국민족문화대백과사전,웹검색,불필요(널리 알려진 사실),
39,인물,오세창,"민족대표 33인, 천도교 대표. 독립선언서 원고를 보성사로 전달.",한국민족문화대백과사전,웹검색,권장,
40,인물,김좌진,1889~1930. 신민회 등 계몽운동 이력 후 북로군정서 이끌고 청산리대첩 지휘.,위키백과 / 한국민족문화대백과사전,웹검색 교차확인,권장,신민회 활동 이력 부분 재검증 우선순위 높음(계열을 잇는 핵심 근거)
41,인물,서일,북로군정서 조직 주도.,위키백과,웹검색,권장,
42,인물,이범석,신흥무관학교 교관 합류 후 북로군정서 연성대장으로 청산리전투 참전.,위키백과,웹검색,권장,"신흥무관학교-청산리전투 연결고리로 중요, 재검증 권장"
43,인물,이승만,임시정부 초대 대통령.,한국민족문화대백과사전,웹검색,불필요(널리 알려진 사실),
44,인물,이동휘,임시정부 국무총리.,한국민족문화대백과사전,웹검색,불필요,
45,인물,최린,"천도교, 독립선언서 초안 작성. 이후 변절, 1934년 중추원 참의·1937년 매일신보 사장·1939년 임전보국단장. 6.25때 납북.",한국민족문화대백과사전 / 위키백과,웹검색 교차확인,권장,전향 연도(1934) 재검증 권장
46,인물,정춘수,"감리회 목사, 원산 만세운동 지도. 1934년 흥업구락부 사건 후 전향, 신사참배·창씨개명 독려.",한국민족문화대백과사전,웹검색,권장,
47,인물,박희도,"숭실중학교 졸업. 3.1운동 옥고, 신간회 활동 이후 전향해 친일반민족행위자로 규정.",친일인명사전 / 위키백과,웹검색,권장,숭실학교 졸업 사실이 핵심 연결고리 - 재검증 우선순위 높음
48,참고(솔트룩스),이순신 검색 사례(2013 ZDNet),'이순신' 검색 시 국사편찬위원회·박물관·도서관 자료가 연계되는 LOD 사례는 솔트룩스가 아니라 경쟁사 다이퀘스트(DiQuest)의 사업으로 원 기사에 기재됨.,ZDNet Korea(2013.07.09) 원문 직접 확인,웹fetch로 원문 대조,완료(오류로 확정),"이 대화 초반, 솔트룩스 관련 문서의 오류로 지적된 사항. 온톨로지 데이터와 무관하나 프로젝트 배경상 기록."
